Date,EUNA
2017-11-21,4.996719837188721
2017-11-22,5.0023298263549805
2017-11-24,4.999800205230713
2017-11-27,5.001200199127197
2017-11-28,5.000899791717529
2017-11-29,4.992400169372559
2017-11-30,4.990099906921387
2017-12-01,5.003900051116943
2017-12-04,4.997900009155273
2017-12-05,5.0019001960754395
2017-12-06,5.007800102233887
2017-12-07,5.003499984741211
2017-12-08,5.002600193023682
2017-12-11,5.003200054168701
2017-12-12,5.000199794769287
2017-12-13,5.005899906158447
2017-12-14,5.008299827575684
2017-12-15,5.009699821472168
2017-12-18,5.019999980926514
2017-12-19,5.019999980926514
2017-12-20,5.019999980926514
2017-12-21,5.019999980926514
2017-12-22,5.019999980926514
2017-12-27,5.005000114440918
2017-12-28,5.005000114440918
2017-12-29,5.005000114440918
2018-01-02,5.005000114440918
2018-01-03,5.005000114440918
2018-01-04,5.005000114440918
2018-01-05,5.005000114440918
2018-01-08,4.985099792480469
2018-01-09,4.985099792480469
2018-01-10,4.974100112915039
2018-01-11,4.968400001525879
2018-01-12,4.968400001525879
2018-01-15,4.974299907684326
2018-01-16,4.974299907684326
2018-01-17,4.974299907684326
2018-01-18,4.974299907684326
2018-01-19,4.974299907684326
2018-01-22,4.974299907684326
2018-01-23,4.974299907684326
2018-01-24,4.974299907684326
2018-01-25,4.957099914550781
2018-01-26,4.957900047302246
2018-01-29,4.947500228881836
2018-01-30,4.949900150299072
2018-01-31,4.946700096130371
2018-02-01,4.9506001472473145
2018-02-02,4.9506001472473145
2018-02-05,4.928999900817871
2018-02-06,4.945199966430664
2018-02-07,4.945199966430664
2018-02-08,4.925099849700928
2018-02-09,4.921800136566162
2018-02-12,4.923299789428711
2018-02-13,4.92080020904541
2018-02-14,4.92080020904541
2018-02-15,4.916900157928467
2018-02-16,4.929599761962891
2018-02-19,4.919300079345703
2018-02-20,4.919300079345703
2018-02-21,4.919300079345703
2018-02-22,4.917300224304199
2018-02-23,4.924099922180176
2018-02-26,4.930600166320801
2018-02-27,4.918399810791016
2018-02-28,4.926700115203857
2018-03-01,4.930300235748291
2018-03-02,4.930300235748291
2018-03-05,4.931300163269043
2018-03-06,4.931300163269043
2018-03-07,4.921199798583984
2018-03-08,4.921199798583984
2018-03-09,4.921199798583984
2018-03-12,4.921199798583984
2018-03-13,4.9328999519348145
2018-03-14,4.939599990844727
2018-03-15,4.937699794769287
2018-03-16,4.941100120544434
2018-03-19,4.941400051116943
2018-03-20,4.933800220489502
2018-03-21,4.932499885559082
2018-03-22,4.940199851989746
2018-03-23,4.940199851989746
2018-03-26,4.939599990844727
2018-03-27,4.946499824523926
2018-03-28,4.954899787902832
2018-03-29,4.9583001136779785
2018-04-03,4.952600002288818
2018-04-04,4.949399948120117
2018-04-05,4.9446001052856445
2018-04-06,4.946499824523926
2018-04-09,4.946300029754639
2018-04-10,4.952300071716309
2018-04-11,4.954699993133545
2018-04-12,4.945400238037109
2018-04-13,4.950300216674805
2018-04-16,4.945499897003174
2018-04-17,4.94920015335083
2018-04-18,4.942299842834473
2018-04-19,4.929299831390381
2018-04-20,4.9268999099731445
2018-04-23,4.919099807739258
2018-04-24,4.914899826049805
2018-04-25,4.906700134277344
2018-04-26,4.915900230407715
2018-04-27,4.920100212097168
2018-04-30,4.927599906921387
2018-05-02,4.92080020904541
2018-05-03,4.92080020904541
2018-05-04,4.920899868011475
2018-05-07,4.920899868011475
2018-05-08,4.913099765777588
2018-05-09,4.913099765777588
2018-05-10,4.9166998863220215
2018-05-11,4.915900230407715
2018-05-14,4.914400100708008
2018-05-15,4.902599811553955
2018-05-16,4.89739990234375
2018-05-17,4.889599800109863
2018-05-18,4.898099899291992
2018-05-21,4.898099899291992
2018-05-22,4.8927998542785645
2018-05-23,4.8927998542785645
2018-05-24,4.913000106811523
2018-05-25,4.913000106811523
2018-05-28,4.927299976348877
2018-05-29,4.93120002746582
2018-05-30,4.916999816894531
2018-05-31,4.916999816894531
2018-06-01,4.919400215148926
2018-06-04,4.926400184631348
2018-06-05,4.925300121307373
2018-06-06,4.925300121307373
2018-06-07,4.905900001525879
2018-06-08,4.906000137329102
2018-06-11,4.908400058746338
2018-06-12,4.906599998474121
2018-06-13,4.909800052642822
2018-06-14,4.917300224304199
2018-06-15,4.917300224304199
2018-06-18,4.917300224304199
2018-06-19,4.9303998947143555
2018-06-20,4.925300121307373
2018-06-21,4.922900199890137
2018-06-22,4.922900199890137
2018-06-25,4.925000190734863
2018-06-26,4.92110013961792
2018-06-27,4.92110013961792
2018-06-28,4.9328999519348145
2018-06-29,4.934599876403809
2018-07-02,4.935200214385986
2018-07-03,4.936500072479248
2018-07-04,4.9355998039245605
2018-07-05,4.935699939727783
2018-07-06,4.938700199127197
2018-07-09,4.936299800872803
2018-07-10,4.935699939727783
2018-07-11,4.934700012207031
2018-07-12,4.934700012207031
2018-07-13,4.944200038909912
2018-07-16,4.936500072479248
2018-07-17,4.941800117492676
2018-07-18,4.940800189971924
2018-07-19,4.946400165557861
2018-07-20,4.938600063323975
2018-07-23,4.922299861907959
2018-07-24,4.92519998550415
2018-07-25,4.9293999671936035
2018-07-26,4.924499988555908
2018-07-27,4.924699783325195
2018-07-30,4.916500091552734
2018-07-31,4.9243998527526855
2018-08-01,4.9131999015808105
2018-08-02,4.9095001220703125
2018-08-03,4.9095001220703125
2018-08-06,4.924200057983398
2018-08-07,4.916500091552734
2018-08-08,4.916500091552734
2018-08-09,4.92110013961792
2018-08-10,4.929200172424316
2018-08-13,4.929200172424316
2018-08-14,4.924799919128418
