Date,US,Dev_exUS,EM,BTC
2020-01-09,3274.699951171875,41.02450942993164,40.66901397705078,7879.0712890625
2020-01-10,3265.35009765625,40.82353591918945,40.88424301147461,8166.55419921875
2020-01-13,3288.1298828125,41.00703430175781,41.520957946777344,8144.1943359375
2020-01-14,3283.14990234375,41.03324890136719,41.28778839111328,8827.7646484375
2020-01-15,3289.2900390625,41.00703430175781,40.96495819091797,8807.0107421875
2020-01-16,3316.81005859375,41.234222412109375,41.22502899169922,8723.7861328125
2020-01-17,3329.6201171875,41.43518829345703,41.458187103271484,8929.0380859375
2020-01-21,3320.7900390625,41.10315704345703,40.4089469909668,8745.89453125
2020-01-22,3321.75,41.12936782836914,40.740760803222656,8680.8759765625
2020-01-23,3325.5400390625,40.963348388671875,40.31926727294922,8406.515625
2020-01-24,3295.469970703125,40.867225646972656,39.996437072753906,8445.4345703125
2020-01-27,3243.6298828125,40.02838897705078,38.61539077758789,8909.8193359375
2020-01-28,3276.239990234375,40.37790298461914,38.938228607177734,9358.58984375
2020-01-29,3273.39990234375,40.430328369140625,39.12655258178711,9316.6298828125
2020-01-30,3283.659912109375,40.37790298461914,38.54364776611328,9508.9931640625
2020-01-31,3225.52001953125,39.74003601074219,37.76344680786133,9350.529296875
2020-02-03,3248.919921875,39.774986267089844,38.1849365234375,9293.521484375
2020-02-04,3297.590087890625,40.40412139892578,39.171390533447266,9180.962890625
2020-02-05,3334.68994140625,40.867225646972656,39.395591735839844,9613.423828125
2020-02-06,3345.780029296875,40.937129974365234,39.431453704833984,9729.8017578125
2020-02-07,3327.7099609375,40.578880310058594,38.88441848754883,9795.943359375
2020-02-10,3352.090087890625,40.68373489379883,39.099647521972656,9856.611328125
2020-02-11,3357.75,40.92839050292969,39.610816955566406,10208.236328125
2020-02-12,3379.449951171875,41.164310455322266,40.14888381958008,10326.0546875
2020-02-13,3373.93994140625,40.84101867675781,39.619781494140625,10214.3798828125
2020-02-14,3380.159912109375,40.87596130371094,39.637725830078125,10312.1162109375
2020-02-18,3370.2900390625,40.69247055053711,39.37765121459961,10141.99609375
2020-02-19,3386.14990234375,40.92839050292969,39.664615631103516,9633.38671875
2020-02-20,3373.22998046875,40.68373489379883,39.04584884643555,9608.4755859375
2020-02-21,3337.75,40.57013702392578,38.821651458740234,9686.44140625
2020-02-24,3225.889892578125,38.813812255859375,37.36886215209961,9650.1748046875
2020-02-25,3128.2099609375,37.922550201416016,37.07292556762695,9341.705078125
2020-02-26,3116.389892578125,37.95750045776367,37.36886215209961,8820.5224609375
2020-02-27,2978.760009765625,36.80409622192383,36.472084045410156,8784.494140625
2020-02-28,2954.219970703125,36.50701141357422,36.33756637573242,8672.455078125
2020-03-02,3090.22998046875,37.162349700927734,37.12674331665039,8869.669921875
2020-03-03,3003.3701171875,36.83031463623047,36.87562942504883,8787.7861328125
2020-03-04,3130.1201171875,38.15846633911133,37.53028106689453,8755.24609375
2020-03-05,3023.93994140625,36.95264434814453,36.741119384765625,9078.7626953125
2020-03-06,2972.3701171875,36.39341354370117,35.987823486328125,9122.5458984375
2020-03-09,2746.56005859375,33.2215461730957,33.5306396484375,7923.64453125
2020-03-10,2882.22998046875,34.41864013671875,35.234527587890625,7909.7294921875
2020-03-11,2741.3798828125,32.496299743652344,33.593414306640625,7911.43017578125
2020-03-12,2480.639892578125,28.80890655517578,30.230485916137695,4970.7880859375
2020-03-13,2711.02001953125,30.55648422241211,32.409664154052734,5563.70703125
2020-03-16,2386.1298828125,27.096275329589844,28.365184783935547,5014.47998046875
2020-03-17,2529.18994140625,28.319578170776367,30.32016944885254,5225.62939453125
2020-03-18,2398.10009765625,26.37102699279785,27.701562881469727,5238.4384765625
2020-03-19,2409.389892578125,26.94772720336914,27.916790008544922,6191.19287109375
2020-03-20,2304.919921875,26.606950759887695,28.1230525970459,6198.7783203125
2020-03-23,2237.39990234375,26.388500213623047,27.45046615600586,6416.31494140625
2020-03-24,2447.330078125,28.747737884521484,29.513063430786133,6734.8037109375
2020-03-25,2475.56005859375,29.918622970581055,30.55333137512207,6681.06298828125
2020-03-26,2630.070068359375,31.377851486206055,31.710180282592773,6716.4404296875
2020-03-27,2541.469970703125,30.29434585571289,29.907642364501953,6469.79833984375
2020-03-30,2626.64990234375,30.862316131591797,30.40087890625,6429.841796875
2020-03-31,2584.590087890625,30.871047973632812,30.60713768005371,6438.64453125
2020-04-01,2470.5,29.429298400878906,29.297832489013672,6606.7763671875
2020-04-02,2526.89990234375,29.9885196685791,30.2842960357666,6793.62451171875
2020-04-03,2488.64990234375,29.37687110900879,29.710355758666992,6733.38720703125
2020-04-06,2663.679931640625,30.77492904663086,31.33352279663086,7271.78125
2020-04-07,2659.409912109375,30.914743423461914,31.494953155517578,7176.41455078125
2020-04-08,2749.97998046875,31.369117736816406,31.817787170410156,7334.0986328125
2020-04-09,2789.820068359375,32.12057113647461,31.701210021972656,7302.08935546875
2020-04-13,2761.6298828125,31.66620445251465,31.746042251586914,6845.03759765625
2020-04-14,2846.06005859375,32.26038360595703,32.472434997558594,6842.427734375
2020-04-15,2783.360107421875,30.993385314941406,31.6384334564209,6642.10986328125
2020-04-16,2799.550048828125,31.080760955810547,31.808818817138672,7116.80419921875
2020-04-17,2874.56005859375,32.12057113647461,32.517276763916016,7096.1845703125
2020-04-20,2823.159912109375,31.683677673339844,32.10476303100586,6881.95849609375
2020-04-21,2736.56005859375,31.028331756591797,31.216949462890625,6880.3232421875
2020-04-22,2799.31005859375,31.50018882751465,32.068885803222656,7117.20751953125
2020-04-23,2797.800048828125,31.255521774291992,31.952314376831055,7429.724609375
2020-04-24,2836.739990234375,31.63998794555664,31.907470703125,7550.90087890625
2020-04-27,2878.47998046875,32.0943603515625,32.55314636230469,7795.60107421875
2020-04-28,2863.389892578125,32.32155227661133,32.61591720581055,7807.05859375
2020-04-29,2939.510009765625,33.18659591674805,33.56650924682617,8801.0380859375
2020-04-30,2912.429931640625,32.5749397277832,32.85805130004883,8658.5537109375
2020-05-01,2830.7099609375,31.902118682861328,31.674301147460938,8864.7666015625
2020-05-04,2842.739990234375,31.867168426513672,32.01508331298828,8912.654296875
2020-05-05,2868.43994140625,31.79726791381836,32.19443893432617,9003.0703125
2020-05-06,2848.419921875,31.561342239379883,32.09579086303711,9268.76171875
2020-05-07,2881.18994140625,32.08562088012695,32.355857849121094,9951.5185546875
2020-05-08,2929.800048828125,32.61863708496094,33.03741455078125,9842.666015625
2020-05-11,2930.18994140625,32.46135330200195,32.82218551635742,8601.7958984375
